city,date,icao,kind,winBucket,omMax,metarMax,omRounded,metarRounded,omAgrees,metarAgrees,delta
Karachi,2026-04-20,OPKC,exact,34,31.6,34,32,34,false,true,-2.4
Kuala Lumpur,2026-04-16,WMKK,exact,34,34,34,34,34,true,true,0
Munich,2026-04-18,EDDM,exact,22,19.9,22,20,22,false,true,-2.1
Wuhan,2026-03-25,ZHHH,exact,21,20.5,21,21,21,true,true,-0.5
Madrid,2026-04-20,LEMD,exact,28,27.8,28,28,28,true,true,-0.2
Toronto,2026-04-14,CYYZ,exact,23,21.4,23,21,23,false,true,-1.6
Buenos Aires,2026-04-12,SABE,exact,26,25.2,23,25,23,false,false,2.2
Munich,2026-03-28,EDDM,exact,8,7,8,7,8,false,true,-1
Taipei,2026-04-18,RCTP,exact,27,28.9,28,29,28,false,false,0.9
Toronto,2026-04-21,CYYZ,exact,11,14.5,11,15,11,false,true,3.5
Munich,2026-04-15,EDDM,exact,13,16.2,13,16,13,false,true,3.2
Ankara,2026-04-19,LTAC,exact,10,15.3,10,15,10,false,true,5.3
Helsinki,2026-04-21,EFHK,exact,15,14.6,15,15,15,true,true,-0.4
Seoul,2026-03-25,RKSI,exact,13,17.9,13,18,13,false,true,4.9
Taipei,2026-04-20,RCTP,exact,32,29.7,30,30,30,false,false,-0.3
Mexico City,2026-04-17,MMMX,exact,29,30.2,29,30,29,false,true,1.2
Tokyo,2026-03-29,RJTT,exact,21,20.2,21,20,21,false,true,-0.8
Toronto,2026-04-06,CYYZ,exact,5,9.2,5,9,5,false,true,4.2
Tel Aviv,2026-04-14,LLBG,exact,30,34,30,34,30,false,true,4
Jeddah,2026-04-16,OEJN,exact,39,38.8,39,39,39,true,true,-0.2
Seoul,2026-03-29,RKSI,exact,16,18.6,17,19,17,false,false,1.6
Amsterdam,2026-04-15,EHAM,exact,18,18.1,18,18,18,true,true,0.1
Lagos,2026-04-14,DNMM,exact,35,32.2,35,32,35,false,true,-2.8
London,2026-04-02,EGLL,exact,12,15.9,12,16,12,false,true,3.9
Chongqing,2026-04-12,ZUCK,exact,24,24,24,24,24,true,true,0
Busan,2026-04-21,RKPK,exact,21,20.3,21,20,21,false,true,-0.7
Istanbul,2026-04-16,LTFM,exact,12,18.4,12,18,12,false,true,6.4
Munich,2026-03-30,EDDM,exact,7,5.6,7,6,7,false,true,-1.4
Wellington,2026-04-05,NZWN,exact,17,19.7,21,20,21,false,false,-1.3
Moscow,2026-04-11,UUEE,exact,5,10.2,5,10,5,false,true,5.2
Warsaw,2026-04-05,EPWA,exact,20,20.2,20,20,20,true,true,0.2
Singapore,2026-04-19,WSSS,exact,32,33.4,32,33,32,false,true,1.4
Tokyo,2026-03-24,RJTT,exact,16,16.8,16,17,16,false,true,0.8
Chengdu,2026-04-21,ZUUU,exact,21,22,21,22,21,false,true,1
Toronto,2026-03-26,CYYZ,exact,10,9.2,10,9,10,false,true,-0.8
Seoul,2026-03-28,RKSI,exact,12,18.6,12,19,12,false,true,6.6
Helsinki,2026-04-05,EFHK,exact,5,4.5,5,5,5,true,true,-0.5
Busan,2026-04-17,RKPK,exact,19,20.3,19,20,19,false,true,1.3
Buenos Aires,2026-04-21,SABE,exact,23,21.9,23,22,23,false,true,-1.1
Sao Paulo,2026-03-28,SBGR,exact,30,30.8,30,31,30,false,true,0.8
Lucknow,2026-04-20,VILK,exact,42,42,42,42,42,true,true,0
Madrid,2026-04-10,LEMD,exact,28,28.5,28,29,28,false,true,0.5
Tel Aviv,2026-04-13,LLBG,exact,22,27.6,22,28,22,false,true,5.6
Istanbul,2026-04-18,LTFM,exact,14,17.2,14,17,14,false,true,3.2
Amsterdam,2026-04-08,EHAM,exact,15,20.1,20,20,20,false,false,0.1
Amsterdam,2026-04-12,EHAM,exact,15,16.6,15,17,15,false,true,1.6
Madrid,2026-04-19,LEMD,exact,28,27.5,28,28,28,true,true,-0.5
Milan,2026-03-27,LIMC,exact,16,16.8,16,17,16,false,true,0.8
Seoul,2026-04-02,RKSI,exact,14,20.4,14,20,14,false,true,6.4
Cape Town,2026-04-12,FACT,exact,25,26.9,25,27,25,false,true,1.9
Tokyo,2026-04-02,RJTT,exact,16,18,16,18,16,false,true,2
Warsaw,2026-03-27,EPWA,exact,10,14.6,10,15,10,false,true,4.6
Amsterdam,2026-04-19,EHAM,exact,13,14.5,13,15,13,false,true,1.5
London,2026-04-14,EGLL,exact,17,17,16,17,16,true,false,1
Panama City,2026-04-20,MPTO,exact,31,33.8,33,34,33,false,false,0.8
Taipei,2026-04-21,RCTP,exact,30,30,31,30,31,true,false,-1
Wellington,2026-04-18,NZWN,exact,18,16.8,18,17,18,false,true,-1.2
Tokyo,2026-03-28,RJTT,exact,18,20.2,18,20,18,false,true,2.2
Lucknow,2026-04-18,VILK,exact,41,42,41,42,41,false,true,1
Buenos Aires,2026-04-16,SABE,exact,24,24.6,24,25,24,false,true,0.6
