city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Seoul,2026-03-28,0xec9642b6cd9094b859de879b78b3e57a317a86b16bdde225a3995b862b13ee3e,10,10,exact,1774665899,11,-1,above_obs,NO,0.955,0.955,0.056,0.984,1774667735,timeout,31,104.71,3.04,84,179
Buenos Aires,2026-04-21,0x02b5b68fdd5e4c9b46f692c1478acc977ea31c245033c6503c98ebb19e712478,20,20,exact,1776752099,21,-1,above_obs,NO,0.9594,0.9594,0.04,0.939,1776754884,timeout,46,104.23,-2.13,243,196
Buenos Aires,2026-04-21,0xa360eafc75cf053aaf67eee412f739d91cef7cdca40c456ac2fe8c8e11f93a66,19,19,exact,1776774599,21,-2,above_obs,NO,0.966,0.966,0.034,0.992,1776777574,timeout,50,103.52,2.69,117,27
Taipei,2026-04-21,0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,28,28,exact,1776735899,29,-1,above_obs,NO,0.97,0.97,0.031,0.999,1776736934,profit-take,17,103.09,2.99,211,34
Buenos Aires,2026-04-15,0xcc9a0ca45f228ea28b057a303893a6608872c42dcce6d228c657c06f6ba244e3,21,21,exact,1776257999,22,-1,above_obs,NO,0.9509,0.9509,0.042,0.927,1776259982,timeout,33,105.16,-2.52,35,8
Buenos Aires,2026-03-29,0xa8ec14da2014e74e063ff443320f93927fd288c51e96cef14fb4be537b265413,24,24,exact,1774790099,25,-1,above_obs,NO,0.951,0.951,0.049,0.99,1774791960,timeout,31,105.15,4.1,5,88
Lagos,2026-04-18,0x5d85c0aaa5fc105ccf8b5316b764edbde2ffc4632f4a4cd0fe6717e380ea5165,33,33,exact,1776518099,34,-1,above_obs,NO,0.9544,0.9544,0.0648,0.55,1776520284,timeout,36,104.77,-42.37,165,135
Lagos,2026-04-18,0x9b90cb90730a99d2af6af271623b895f44a7c535485987a2ca3cb8c1458f8371,29,29,exact,1776525299,34,-5,above_obs,NO,0.951,0.951,0.09,0.925,1776527200,timeout,32,105.15,-2.73,255,175
Lagos,2026-04-18,0x455de2b8f678119b2dabbbd7e3ec412af3a370f22b730e4cc445d470b159c5a0,32,32,exact,1776527999,34,-2,above_obs,NO,0.97,0.97,0.0675,0.9677,1776530682,timeout,45,103.09,-0.24,119,106
Lagos,2026-04-18,0x06d332722f923242b4e1b775430da3077abe7058667f9b03446e2cfd3e8f704e,30,30,exact,1776529799,34,-4,above_obs,NO,0.954,0.954,0.0785,0.9864,1776532900,timeout,52,104.82,3.39,273,235
Hong Kong,2026-03-27,0xde09dedf441e289a2bf6ddf9beeb45c1596f06f856b92fc805d4e951aa7f5211,25,25,exact,1774585799,27,-2,above_obs,NO,0.95,0.95,0.05,0.999,1774586759,profit-take,16,105.26,5.16,46,80
Lagos,2026-04-15,0xe7b10e5087de993da0c7cb0ff0d277dfbaa45be76752c556870b74c8cbd44598,33,33,exact,1776251699,34,-1,above_obs,NO,0.9514,0.9514,0.01,0.999,1776251842,profit-take,2,105.11,5.01,1,10
Buenos Aires,2026-04-20,0xd6a44d8ae95f44268f574d89964ffb1f6a650f6917cc60a39e0a2d7e142e7217,20,20,exact,1776666599,22,-2,above_obs,NO,0.963,0.963,0.037,0.9741,1776669980,timeout,56,103.84,1.15,39,189
Toronto,2026-04-19,0xa3ead7f0501f85bb94df2608a107adfade96d7c3008a98ef9db39344413c6702,6,6,exact,1776617999,10,-4,above_obs,NO,0.9607,0.9607,0.0203,0.733,1776619810,timeout,30,104.09,-23.7,77,22
Toronto,2026-04-19,0x21acd07725ede8fc1ac353d2560875cb06ddebc2452d5b0782ef2e5f1c6d288f,9,9,exact,1776629699,10,-1,above_obs,NO,0.97,0.97,0.003,0.998,1776631710,timeout,34,103.09,2.89,15,64
Hong Kong,2026-04-06,0xe3b8f689a316799ed0e1d310af1f321056c620ad362b805baf8530501fcda799,26,26,exact,1775439899,27,-1,above_obs,NO,0.95,0.95,0.0789,0.929,1775442181,timeout,38,105.26,-2.21,20,236
Hong Kong,2026-04-22,0x2215280b7de63afaff105a0147210d3696a2b52378a0ad4e62daf65758b10c03,28,28,exact,1776827728,29,-1,above_obs,NO,0.96,0.96,0.04,0.986,1776829896,timeout,36,104.17,2.71,22,156
