city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Warsaw,2026-04-07,0x0d3c6ba35b401ea23f92e6b7f51b9e2026f83c9ee6709a18e3fff1dce43c9ff0,9,9,exact,1775491199,10.8,-1.8,above_obs,NO,0.82,0.82,0.21,0.88,1775500471,timeout,155,121.95,7.32,68,155
Warsaw,2026-04-07,0x7f32c2f12c2a4329d5cd68089402e27204f247988dbd7e0d460d916505eee55b,10,10,exact,1775556899,10.8,-0.8,above_obs,NO,0.69,0.69,0.29,0.26,1775564335,timeout,124,144.93,-62.32,202,3
Kuala Lumpur,2026-04-16,0x73bca30d505a11a8ebda6aef0f66a7bbbb88486c8276938a0906075f35877908,30,30,exact,1776247199,31.3,-1.3,above_obs,NO,0.97,0.97,0.06,0.98,1776255332,profit-take,136,103.09,1.03,87,52
Kuala Lumpur,2026-04-16,0xa554c426d0b165b7180ff557d30397a253c027bd36f23aa40287ace8deaff7c2,31,31,exact,1776303899,31.3,-0.3,above_obs,NO,0.95,0.95,0.05,0.98,1776307170,profit-take,55,105.26,3.16,147,22
Kuala Lumpur,2026-04-16,0x0e35867ab163753bf0aeaa855784eab3d586f36bc037cc6ddc8cafd9593a1eed,33,33,exact,1776316499,33.3,-0.3,above_obs,NO,0.23,0.23,0.79,0.99,1776323332,profit-take,114,434.78,330.43,31,145
Kuala Lumpur,2026-04-16,0xbe84e4bbad878f0d8be425ee8db0733759dcf7b44a7bdcab673186584b0efd0e,34,34,exact,1776323699,34,0,contains,YES,0.9262,0.1,0.9262,0.98,1776325288,profit-take,26,107.97,5.81,9,169
Munich,2026-04-18,0x8029f00a0c3bc981dcbabc575a096516e8bccf598206c69658a2bba91a004cdc,19,19,exact,1776441599,19.1,-0.1,above_obs,NO,0.85,0.85,0.15,0.84,1776449186,timeout,126,117.65,-1.18,79,238
Madrid,2026-04-20,0x156647cb8e37f432aa738e3099d527aee1f424286f03e1c8cd2257016f155632,27,27,exact,1776617999,27.3,-0.3,above_obs,NO,0.72,0.72,0.28,0.72,1776625360,timeout,123,138.89,0,35,143
Taipei,2026-04-18,0x24e12d82c3f33c2b358bb35e7f3fe9deeccd2f8ae926391d0a64140692541679,27,27,exact,1776426299,28.7,-1.7,above_obs,NO,0.81,0.81,0.19,0.81,1776438236,timeout,199,123.46,0,91,81
Taipei,2026-04-18,0x8c349d4dd4cdd06a0ea9c432dd9330fa5575a37fb97de46d0d1e93a234c74a0a,28,28,exact,1776426299,28.7,-0.7,above_obs,NO,0.93,0.93,0.06,0.94,1776439050,timeout,213,107.53,1.08,71,103
Munich,2026-04-15,0x11c88f91597c52eaab222bcae8d1490d9f59b297eddf7963b0b943b4d832cec5,12,12,exact,1776252599,12.6,-0.6,above_obs,NO,0.9263,0.9263,,0.982,1776255452,profit-take,48,107.96,6.01,151,2
Ankara,2026-04-19,0xccb5114e560687e960883dd300c11d3fa5237a6598b5df0b5ff56fbea8ad3573,14,14,exact,1776527099,15.3,-1.3,above_obs,NO,0.97,0.97,0.03,0.955,1776534500,timeout,123,103.09,-1.55,101,184
