city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Buenos Aires,2026-04-21,0xa360eafc75cf053aaf67eee412f739d91cef7cdca40c456ac2fe8c8e11f93a66,19,19,exact,1776774599,21,-2,above_obs,NO,0.966,0.966,0.034,0.981,1776776250,profit-take,28,103.52,1.55,117,27
Taipei,2026-04-21,0xa6cb9f15a17b32b0e5fb77796e1db6ec1a8fc4004cf6803f3327fbd51ef5f7ea,29,29,exact,1776742199,31,-2,above_obs,NO,0.64,0.64,0.3647,0.99,1776747014,profit-take,80,156.25,54.69,101,45
Karachi,2026-04-15,0xb844a288d8323c4011e9e6adb2d1f3aee8cc05a4995d7a9df6dd1cba73543357,30,30,exact,1776234226,32,-2,above_obs,NO,0.8959,0.8959,0.2167,0.9896,1776238344,profit-take,69,111.62,10.46,270,6
Lagos,2026-04-18,0x282a7b27aa344ac16219a19254f36af87c0f026c69350df31b73c24d6329a8b4,28,28,exact,1776511799,33,-5,above_obs,NO,0.833,0.833,0.106,0.8991,1776519000,timeout,120,120.05,7.94,73,89
Lagos,2026-04-18,0x9b90cb90730a99d2af6af271623b895f44a7c535485987a2ca3cb8c1458f8371,29,29,exact,1776520799,34,-5,above_obs,NO,0.946,0.946,0.019,0.9591,1776529694,timeout,148,105.71,1.39,47,156
Lagos,2026-04-18,0x455de2b8f678119b2dabbbd7e3ec412af3a370f22b730e4cc445d470b159c5a0,32,32,exact,1776525299,34,-2,above_obs,NO,0.7301,0.7301,0.26,0.98,1776530684,profit-take,90,136.96,34.22,157,10
Lagos,2026-04-18,0xce895928e1cd9adbec9a149c4b8f8b1c038fa7e41681cbf6f0902f4a30524801,31,31,exact,1776525299,34,-3,above_obs,NO,0.84,0.84,0.159,0.899,1776532618,timeout,122,119.05,7.02,255,7
Lagos,2026-04-18,0x06d332722f923242b4e1b775430da3077abe7058667f9b03446e2cfd3e8f704e,30,30,exact,1776526199,34,-4,above_obs,NO,0.897,0.897,0.15,0.9846,1776528510,profit-take,39,111.48,9.76,95,175
Mexico City,2026-04-19,0x75768fb6603e423ab19d9b8a0cbd052b2397f6adb59a9b74778323c496b9894b,25,25,exact,1776558599,27,-2,above_obs,NO,0.83,0.83,0.2,0.7838,1776568006,timeout,157,120.48,-5.56,167,161
Mexico City,2026-04-19,0x26a0f71401202bf6e0f6a9f8d115a41d8daa5fbfaee98460451f7976677c913d,24,24,exact,1776626099,27,-3,above_obs,NO,0.77,0.77,0.033,0.328,1776633544,timeout,124,129.87,-57.4,289,3
