city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Warsaw,2026-04-07,0xafb38263caef6ed8ab7a54a1ec773d4df4b7fdaa51918a8bb40a0aac412f2556,8,8,exact,1775491199,10.8,-2.8,above_obs,NO,0.96,0.96,0.0385,0.983,1775494231,profit-take,51,104.17,2.4,98,125
Ankara,2026-04-22,0x874afea4ad50b4030273d2ecad59359fee60ae19868149476ee1337b349759e9,15,15,exact,1776784499,17.3,-2.3,above_obs,NO,0.75,0.75,0.22,0.82,1776791896,timeout,123,133.33,9.33,145,170
Ankara,2026-04-22,0x705cbd6e0fd60ea687605fd6de49bc6ccc9978afc25be6cc68c7930c6c61c7b2,14,14,exact,1776785399,17.3,-3.3,above_obs,NO,0.92,0.92,0.09,0.92,1776793190,timeout,130,108.7,0,235,245
Taipei,2026-04-18,0xa61759e81530706ad479be6cdad4ebf70be369a4149d97872d7a3945faeb9fbf,24,24,exact,1776419999,28.7,-4.7,above_obs,NO,0.88,0.88,0.15,0.84,1776431948,timeout,199,113.64,-4.55,215,132
Taipei,2026-04-18,0xeabaf20daeb3f1fcebe4426621caed2abfeb534eaa8b519e25fa73504ffc9104,26,26,exact,1776425399,28.7,-2.7,above_obs,NO,0.67,0.67,0.3697,0.66,1776433190,timeout,130,149.25,-1.49,193,121
Taipei,2026-04-18,0x7cc97a7f345dc576b31e8b609358d7de240a62e7d1d9eeebf6123c98405bd76e,25,25,exact,1776470399,28.7,-3.7,above_obs,NO,0.8496,0.8496,,0.998,1776477278,profit-take,115,117.7,17.47,3,2
Milan,2026-03-26,0x00c2e30d7f6845f5b6943dea6d26fc183d0ca74970b2438551cc84455c50aa88,13,13,exact,1774457999,17.6,-4.6,above_obs,NO,0.57,0.57,0.43,0.6046,1774466133,timeout,136,175.44,6.07,18,177
Milan,2026-03-26,0x46ea516074d22fd641527e55f8d2f63aeb3d46f73c60144ba3dce0c32909cb0b,12,12,exact,1774457999,17.6,-5.6,above_obs,NO,0.77,0.77,0.2612,0.77,1774465581,timeout,126,129.87,0,16,151
Milan,2026-03-26,0x1a4d84dc4a89f890ae76b9a126c50160ba2de0572e98120a7d27f3d7d034dd06,11,11,exact,1774459799,17.6,-6.6,above_obs,NO,0.964,0.964,0.048,0.969,1774467585,timeout,130,103.73,0.52,226,132
Milan,2026-03-26,0xa19470f9cf2f92b240f8b93494def738d79ceb601b075c7518674b6f7a295d0d,15,15,exact,1774522799,17.6,-2.6,above_obs,NO,0.941,0.941,0.071,0.9808,1774524917,profit-take,35,106.27,4.23,42,17
Milan,2026-03-26,0xcf7649bdfaf500302731074aa7703406320c201b06a33cc3a513b30693c92708,14,14,exact,1774522799,17.6,-3.6,above_obs,NO,0.87,0.87,0.2,0.3,1774530243,timeout,124,114.94,-65.52,112,10
Ankara,2026-04-19,0xd5141dba23114f1bff82cc55066ada49b8f64e30cea352bda28cad26a373680b,12,12,exact,1776524399,15.3,-3.3,above_obs,NO,0.52,0.52,0.5,0.56,1776542172,timeout,296,192.31,7.69,249,195
Ankara,2026-04-19,0x167196b3649158942cdac7085be80d5a27a16abe9e858eb7d26de7faa3ea097a,11,11,exact,1776527999,15.3,-4.3,above_obs,NO,0.83,0.83,0.2251,0.8,1776538340,timeout,172,120.48,-3.61,63,230
Ankara,2026-04-19,0x92eb9a38338fbbeaca6f6ca179e54bf6b7837eab3dfbf0abeeab5eca83016b20,10,10,exact,1776531599,15.3,-5.3,above_obs,NO,0.969,0.969,0.0309,0.969,1776539260,timeout,128,103.2,0,157,131
Ankara,2026-04-19,0x5b35c0716cad363a79fc55213651658d050e562ce069f2435ef5ec1bdda64928,13,13,exact,1776592799,15.3,-2.3,above_obs,NO,0.91,0.91,0.1,0.98,1776594550,profit-take,29,109.89,7.69,115,5
Seoul,2026-03-25,0xd12b28aca75bd0b8287b4a4ac89ac3e58f097a75e20cc6181f5ba6e5e7ba6765,12,12,exact,1774399499,16,-4,above_obs,NO,0.949,0.949,0.06,0.944,1774406743,timeout,121,105.37,-0.53,46,21
