conditionId,city,entryTs,side,reason,cushion,ourBid,entryPrice,entryFill,exitPrice,exitFill,pnl,status,score,title
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107420,YES,forecast-in-range,0.10,0.6700,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107480,YES,forecast-in-range,0.10,0.6700,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107510,YES,forecast-in-range,0.10,0.6700,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107570,YES,forecast-in-range,0.10,0.6700,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107720,YES,forecast-in-range,0.10,0.6600,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107750,YES,forecast-in-range,0.10,0.6600,0.0300,6.16,1.0000,6.16,5.9752,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107810,YES,forecast-in-range,0.10,0.6600,0.0300,4.66,1.0000,4.66,4.5202,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107840,YES,forecast-in-range,0.10,0.6600,0.0300,4.66,1.0000,4.66,4.5202,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107900,YES,forecast-in-range,0.10,0.6600,0.0300,4.66,1.0000,4.66,4.5202,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,Sao Paulo,1771107930,YES,forecast-in-range,0.10,0.6600,0.0300,4.66,1.0000,4.66,4.5202,settle-win,1,Will the highest temperature in Sao Paulo be 34°C on February 16?
0xc949eac2de9a933a7ee9836d7f9dd0e4bd20769f15bd3a9ccce5c056e784b6c0,Paris,1772802180,NO,observed-above,0.60,0.9300,0.3909,43.01,0.9990,43.01,26.1569,filled-999,1,Will the highest temperature in Paris be 16°C on March 6?
0xc949eac2de9a933a7ee9836d7f9dd0e4bd20769f15bd3a9ccce5c056e784b6c0,Paris,1772802210,NO,observed-above,0.60,0.9273,0.3909,43.13,0.9990,43.13,26.2317,filled-999,1,Will the highest temperature in Paris be 16°C on March 6?
0xc949eac2de9a933a7ee9836d7f9dd0e4bd20769f15bd3a9ccce5c056e784b6c0,Paris,1772802240,NO,observed-above,0.60,0.9180,0.3909,43.57,0.9990,43.57,26.4988,filled-999,1,Will the highest temperature in Paris be 16°C on March 6?
0xc949eac2de9a933a7ee9836d7f9dd0e4bd20769f15bd3a9ccce5c056e784b6c0,Paris,1772802330,NO,observed-above,0.60,0.8950,0.3909,44.69,0.9990,44.69,27.1812,filled-999,1,Will the highest temperature in Paris be 16°C on March 6?
0xc949eac2de9a933a7ee9836d7f9dd0e4bd20769f15bd3a9ccce5c056e784b6c0,Paris,1772802390,NO,observed-above,0.60,0.8490,0.3909,47.11,0.9990,47.11,28.6525,filled-999,1,Will the highest temperature in Paris be 16°C on March 6?
0x25246c4516c52e7765a714bcbf4e4038e573561c648019d1a1332b478580a7e0,Seoul,1772856180,YES,forecast-in-range,0.40,0.5500,0.5236,72.73,0.0000,72.73,-38.0777,settle-lose,1,Will the highest temperature in Seoul be 4°C on March 7?
